,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
29,29,6469fb83b1064f9440f70111,https://www.foody.vn/ha-noi/tiem-an-phanh-phanh-do-han-ga-chien-online,"Tiệm Ăn Phanh Phanh - Đồ Hàn & Gà Chiên Online ở Quận Hoàng Mai, Hà Nội | Foody.vn","11 Ngõ 13 Lĩnh Nam, P. Mai Động Quận Hoàng Mai Hà Nội",09:00,21:00,5.000đ ,40.000,['https://images.foody.vn/res/g78/772766/prof/s576x330/image-145fc04d-200910115814.jpeg'],['7.6'],['8.6'],['8.6'],['8.4'],['8.8'],18,10,3,1,8.4,Tiệm Ăn Phanh Phanh 
30,30,6469fb83b1064f9440f70112,https://www.foody.vn/ha-noi/tra-sua-gong-cha-hoang-dao-thuy,"Trà Sữa Gong Cha - 貢茶 - Hoàng Đạo Thúy ở Quận Cầu Giấy, Hà Nội | Foody.vn","Tầng 1, 34T Hoàng Đạo Thúy, P. Trung Hòa Quận Cầu Giấy Hà Nội",09:30,21:30,30.000đ ,70.000,[],['7.0'],['7.2'],['7.4'],['7.2'],['7.4'],14,78,22,15,7.2,Trà Sữa Gong Cha - 貢
31,31,6469fb83b1064f9440f70113,https://www.foody.vn/ha-noi/lotteria-tran-duy-hung,"Lotteria Trần Duy Hưng: Hamburger, Gà Rán, Cơm Kẹp ở Quận Cầu Giấy, Hà Nội | Foody.vn","112 Trần Duy Hưng, P. Trung Hoà Quận Cầu Giấy Hà Nội",07:30,22:30,30.000đ ,77.000,['https://images.foody.vn/res/g1/6452/prof/s576x330/image-9bf651b4-210614103001.jpeg'],['6.1'],['6.5'],['7.0'],['6.4'],['7.1'],2,46,26,13,6.6,Lotteria Trần Duy Hư
32,32,6469fb83b1064f9440f70114,https://www.foody.vn/ha-noi/thuy-nga-com-nieu,"Thúy Nga - Cơm Niêu ở Quận Ba Đình, Hà Nội | Foody.vn",29 Nguyễn Chí Thanh Quận Ba Đình Hà Nội,08:00,22:00,50.000đ ,165.000,[],['6.0'],['7.1'],['7.2'],['6.3'],['7.7'],2,12,3,3,6.8,Thúy Nga - Cơm Niêu 
33,33,6469fb83b1064f9440f70115,https://www.foody.vn/ha-noi/quan-bo-de-tam,"Bồ Đề Tâm - Phạm Huy Thông - Ẩm Thực Chay ở Quận Ba Đình, Hà Nội | Foody.vn","34 Phạm Huy Thông, P. Ngọc Khánh Quận Ba Đình Hà Nội",09:00,21:00,50.000đ ,110.000,['https://images.foody.vn/res/g1/1076/prof/s576x330/foody-mobile-bodetam-jpg-527-636150787295248991.jpg'],['5.2'],['6.6'],['7.6'],['6.4'],['7.9'],0,10,2,2,6.7,Bồ Đề Tâm - Phạm Huy
34,34,6469fb83b1064f9440f70116,https://www.foody.vn/ha-noi/noble-moment-cafe-serendipity,"Noble Moment - Cafe' Serendipity ở Quận Cầu Giấy, Hà Nội | Foody.vn","A51 Hoàng Ngân, P. Trung Hòa Quận Cầu Giấy Hà Nội",08:00,22:00,20.000đ ,100.000,['https://images.foody.vn/res/g9/81129/prof/s576x330/foody-mobile-noble640-jpg-410-635773237464264348.jpg'],['6.2'],['7.4'],['8.1'],['7.3'],['8.3'],4,72,9,4,7.4,Noble Moment - Cafe'
35,35,6469fb83b1064f9440f70117,https://www.foody.vn/ha-noi/sumo-bbq-nha-hang-thit-nuong-nhat-ban-trung-yen,"Sumo BBQ - Nhà Hàng Thịt Nướng Nhật Bản - Trung Yên ở Quận Cầu Giấy, Hà Nội | Foody.vn","Lô 1 Nhà 12A Khu Trung Yên, P. Trung Hòa Quận Cầu Giấy Hà Nội",10:00,14:00 | 15:00 ,100.000đ ,500.000,['https://images.foody.vn/res/g76/759928/prof/s576x330/foody-upload-api-foody-mobile-8-190904105035.jpg'],['8.3'],['8.6'],['8.7'],['8.4'],['8.7'],30,6,1,6,8.5,Sumo BBQ - Nhà Hàng 
36,36,6469fb83b1064f9440f70118,https://www.foody.vn/ha-noi/lotteria-trung-kinh,"Lotteria - Trung Kính ở Quận Cầu Giấy, Hà Nội | Foody.vn","299 Trung Kính, P. Yên Hòa Quận Cầu Giấy Hà Nội",07:30,22:30,30.000đ ,110.000,['https://images.foody.vn/res/g6/53635/prof/s576x330/image-27c8017a-210614103005.jpeg'],['5.1'],['6.2'],['6.7'],['5.6'],['7.1'],1,13,12,11,6.1,Lotteria - Trung Kín
46,46,6469fb83b1064f9440f70122,https://www.foody.vn/ha-noi/vitamin-cake-shop-online,"Vitamin Cake - Shop Online ở Quận Đống Đa, Hà Nội | Foody.vn",19B Ngõ 79 Thái Thịnh Quận Đống Đa Hà Nội,08:00,21:00,70.000đ ,150.000,['https://images.foody.vn/res/g21/204282/prof/s576x330/foody-mobile-vita0-jpg-930-635882803720707455.jpg'],['6.4'],['6.7'],['7.1'],['6.6'],['7.3'],6,97,22,18,6.8,Vitamin Cake - Shop 
48,48,6469fb83b1064f9440f70124,https://www.foody.vn/ha-noi/fairy-foods-drinks,"Tiệm Bánh Bông Lan Trứng Muối Fairy - Shop Online ở Quận Đống Đa, Hà Nội | Foody.vn","108 Ngõ 1194 Đường Láng, P. Láng Thượng Quận Đống Đa Hà Nội",08:30,21:00,8.000đ ,60.000,['https://images.foody.vn/res/g77/766082/prof/s576x330/foody-upload-api-foody-mobile-banh-190422120020.jpg'],['6.7'],['7.0'],['7.2'],['6.9'],['7.4'],44,54,29,29,7.0,Tiệm Bánh Bông Lan T
49,49,6469fb83b1064f9440f70125,https://www.foody.vn/ha-noi/buffet-sen-ly-thai-to,"Buffet Sen - Lý Thái Tổ ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","60 Lý Thái Tổ, P. Tràng Tiền Quận Hoàn Kiếm Hà Nội",09:00,23:00,295.000đ ,395.000,['https://images.foody.vn/res/g1/417/prof/s576x330/foody-mobile-buffet-sen-ly-thai-to-ha-noi-140225115808.jpg'],['6.8'],['7.6'],['7.6'],['7.6'],['8.1'],11,93,22,4,7.5,Buffet Sen - Lý Thái
50,50,6469fb83b1064f9440f70126,https://www.foody.vn/ha-noi/gogi-house-nuong-han-quoc-water-mark,"GoGi House - Nướng Hàn Quốc - Water Mark ở Quận Tây Hồ, Hà Nội | Foody.vn","Chung Cư Water Mark, 395 Lạc Long Quân Quận Tây Hồ Hà Nội",09:00,22:00,270.000đ ,500.000,[],['8.2'],['8.6'],['8.6'],['8.3'],['8.8'],69,15,9,10,8.5,GoGi House - Nướng H
51,51,6469fb83b1064f9440f70127,https://www.foody.vn/ha-noi/nghien-lau-buffet,"Nghiện Lẩu Buffet ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","2B Ngõ Bà Triệu, Bà Triệu Quận Hai Bà Trưng Hà Nội",11:00,14:00 | 18:00 ,127.000đ ,157.000,['https://images.foody.vn/res/g22/216458/prof/s576x330/foody-mobile-nghien-jpg-443-636331379645792657.jpg'],['5.9'],['6.5'],['7.1'],['6.3'],['7.1'],0,26,16,7,6.6,Nghiện Lẩu Buffet ở 
52,52,6469fb83b1064f9440f70128,https://www.foody.vn/ha-noi/seoul-garden-tran-hung-dao,"Nhà hàng Seoul Garden - Buffet trưa với Pepsi tươi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","33 Trần Hưng Đạo, P. Phan Chu Trinh Quận Hoàn Kiếm Hà Nội",08:00,23:00,250.000đ ,440.000,['https://images.foody.vn/res/g1/6533/prof/s576x330/foody-mobile-sg1-jpg-692-635769630631824043.jpg'],['6.2'],['7.1'],['7.3'],['6.9'],['7.7'],3,46,21,4,7.0,Nhà hàng Seoul Garde
53,53,6469fb83b1064f9440f70129,https://www.foody.vn/ha-noi/huong-sen,"Nhà Hàng Hương Sen - Buffet Hải Sản Cao Cấp ở Quận Nam Từ Liêm, Hà Nội | Foody.vn","269 Đỗ Đức Dục, Mễ Trì Quận Nam Từ Liêm Hà Nội",10:00,22:00,30.000đ ,550.000,['https://images.foody.vn/res/g1/846/prof/s576x330/foody-mobile-huong-sen-jpg-886-635841338923288386.jpg'],['7.4'],['7.7'],['7.8'],['7.6'],['8.0'],26,31,14,8,7.7,Nhà Hàng Hương Sen -
54,54,6469fb83b1064f9440f7012a,https://www.foody.vn/ha-noi/uu-dam-chay,"Ưu Đàm Chay ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",34 Hàng Bài Quận Hoàn Kiếm Hà Nội,07:00,23:00,60.000đ ,285.000,['https://images.foody.vn/res/g23/223001/prof/s576x330/foody-mobile-chay-jpg-203-636053175307823559.jpg'],['6.2'],['7.6'],['8.0'],['7.4'],['8.1'],20,73,7,12,7.5,Ưu Đàm Chay ở Quận H
55,55,6469fb83b1064f9440f7012b,https://www.foody.vn/ha-noi/seoul-bbq-nguyen-truong-to,"Seoul BBQ - Ẩm thực xứ Hàn đúng kiểu ở Quận Ba Đình, Hà Nội | Foody.vn",24 - 26 Nguyễn Trường Tộ Quận Ba Đình Hà Nội,11:00,14:00 | 17:30 ,100.000đ ,250.000,['https://images.foody.vn/res/g14/131024/prof/s576x330/foody-mobile-nuong1-jpg-566-635923528684489027.jpg'],['7.0'],['7.1'],['7.2'],['7.1'],['7.4'],10,78,29,11,7.2,Seoul BBQ - Ẩm thực 
56,56,6469fb83b1064f9440f7012c,https://www.foody.vn/ha-noi/habit-bbq-lau-nuong-khong-khoi,"Habit BBQ - Lẩu Nướng Không Khói ở Quận Cầu Giấy, Hà Nội | Foody.vn","1A Dịch Vọng Hậu, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",10:30,21:30,150.000đ ,300.000,[],['6.8'],['6.9'],['6.9'],['6.8'],['7.2'],15,74,27,20,6.9,Habit BBQ - Lẩu Nướn
57,57,6469fb83b1064f9440f7012d,https://www.foody.vn/ha-noi/cgv-vincom-ba-trieu,"CGV - Vincom Bà Triệu ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","Tầng 6, Vincom Bà Triệu, 191 Bà Triệu  Quận Hai Bà Trưng Hà Nội",08:30,23:59,80.000đ ,250.000,['https://images.foody.vn/res/g8/72116/prof/s576x330/foody-upload-api-foody-mobile-vincom-ba-trieu-190318172338.jpg'],['6.6'],['7.8'],['7.8'],['7.1'],['7.9'],11,118,27,5,7.4,CGV - Vincom Bà Triệ
58,58,6469fb83b1064f9440f7012e,https://www.foody.vn/ha-noi/cha-ca-thang-long,"Chả Cá Thăng Long - Đặc sản Cố Đô ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","2D - 19 - 21 Đường Thành, P. Cửa Đông Quận Hoàn Kiếm Hà Nội",08:45,22:30,30.000đ ,66.000,['https://images.foody.vn/res/g1/1091/prof/s576x330/foody-mobile-cha-ca-thang-long-jp-543-635788166419499520.jpg'],['6.9'],['7.4'],['7.7'],['7.1'],['7.9'],11,93,27,5,7.4,Chả Cá Thăng Long - 
62,62,6469fb83b1064f9440f70132,https://www.foody.vn/ha-noi/nha-coffee-restaurant-vintage-house-nguyen-khac-can,"Nhà Coffee & Restaurant - Vintage House - Nguyễn Khắc Cần ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","9 Nguyễn Khắc Cần, P. Hàng Bài Quận Hoàn Kiếm Hà Nội",07:00,23:00,50.000đ ,200.000,['https://images.foody.vn/res/g12/118015/prof/s576x330/foody-mobile-nha-coffee-jpg-269-635779053205369131.jpg'],['5.9'],['7.2'],['7.7'],['6.9'],['8.5'],11,85,26,9,7.2,Nhà Coffee & Restaur
67,67,6469fb83b1064f9440f70137,https://www.foody.vn/ha-noi/maison-sens-tran-hung-dao,"Nhà Hàng Buffet Maison Sens ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","61 Trần Hưng Đạo, P. Trần Hưng Đạo Quận Hoàn Kiếm Hà Nội",11:00,14:00 | 18:00 ,50.000đ ,1.650.000,['https://images.foody.vn/res/g2/10175/prof/s576x330/foody-mobile-sen1-jpg-508-635762628711686566.jpg'],['7.1'],['8.2'],['8.2'],['8.0'],['8.2'],10,78,4,1,7.9,Nhà Hàng Buffet Mais
70,70,6469fb83b1064f9440f7013a,https://www.foody.vn/ha-noi/beto-bistro-tealounge-hai-ba-trung,"Bêtô Bistro & Tealounge - Hai Bà Trưng ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","1B Hai Bà Trưng, P. Phan Chu Trinh Quận Hoàn Kiếm Hà Nội",07:00,23:30,25.000đ ,85.000,['https://images.foody.vn/res/g10/94274/prof/s576x330/foody-mobile-beto-mb-jpg-243-635812144799648341.jpg'],['6.8'],['7.5'],['8.1'],['7.4'],['8.1'],5,33,11,1,7.6,Bêtô Bistro & Tealou
71,71,6469fb83b1064f9440f7013b,https://www.foody.vn/ha-noi/nighteen-buffet-lau,"Nighteen - Buffet Lẩu ở Quận Cầu Giấy, Hà Nội | Foody.vn","Tầng 19A, 169 Nguyễn Ngọc Vũ Quận Cầu Giấy Hà Nội",18:00,23:00,119.000đ ,119.000,[],['7.0'],['7.5'],['7.5'],['7.4'],['8.2'],13,28,9,7,7.5,Nighteen - Buffet Lẩ
72,72,6469fb83b1064f9440f7013c,https://www.foody.vn/ha-noi/don-chicken-chicken-pub-kdt-mon-city/binh-luan-12417687,"Don Chicken - Chicken & Pub - KĐT Mon City ở Quận Nam Từ Liêm, Hà Nội | Bình luận - Don Chicken - KĐT Mon City | Ngọc Phạm | Foody.vn","TT04 - 32, KĐT Mon City, 4 Hàm Nghi, P. Mỹ Đình 2 Quận Nam Từ Liêm Hà Nội",11:00,22:30,50.000đ ,300.000,['https://images.foody.vn/res/g75/748258/prof/s576x330/file_restaurant_photo_tpdk_16784-9aedfebb-230310203343.jpg'],['7.0'],['7.6'],['7.6'],['7.4'],['7.8'],5,23,6,3,7.5,Don Chicken - Chicke
73,73,6469fb83b1064f9440f7013d,https://www.foody.vn/ha-noi/dakgalbi-tiem-ga-ran-han-quoc/binh-luan-15796835,"Dakgalbi - Tiệm Gà Rán Hàn Quốc ở Quận Đống Đa, Hà Nội | Bình luận - Cũng ok | Batie Cassie | Foody.vn",3 Ngõ 87 Láng Hạ Quận Đống Đa Hà Nội,09:30,22:00,50.000đ ,300.000,['https://images.foody.vn/res/g23/228521/prof/s576x330/image-f3a3eb16-200910115812.jpeg'],['6.3'],['7.4'],['7.4'],['7.1'],['7.5'],4,52,17,6,7.1,Dakgalbi - Tiệm Gà R
74,74,6469fb83b1064f9440f7013e,https://www.foody.vn/ha-noi/papa-s-chicken-pizza-the-manor/binh-luan-13755244,"Papa's Chicken & Pizza - The Manor ở Quận Nam Từ Liêm, Hà Nội | Bình luận - Ngon, sốt rõ vị ngọt của mật ong | Hải Lê | Foody.vn","Tầng 1,  Tầng 1, B004 The Manor, Mễ Trì ",10:00,23:00,30.000đ ,150.000,[],['6.6'],['7.3'],['7.5'],['6.8'],['7.8'],9,104,24,10,7.2,Papa's Chicken & Piz
75,75,6469fb83b1064f9440f7013f,https://www.foody.vn/ha-noi/cube-beefsteak-drinks-bo-bit-tet-kieu-phap/binh-luan-8847302,"Cube Beefsteak & Drinks - Bò Bít Tết Kiểu Pháp ở Quận Đống Đa, Hà Nội | Bình luận - Đồ ăn ngon, địa điểm check in hợp lí | Snow Wind Aladaide | Foody",20 Ngõ 211 Xã Đàn Quận Đống Đa Hà Nội,10:30,22:00,35.000đ ,120.000,['https://images.foody.vn/res/g14/135459/prof/s576x330/foody-mobile-hmb-h-jpg-897-635786260010129746.jpg'],['6.9'],['7.4'],['7.4'],['7.2'],['7.7'],15,150,38,9,7.3,Cube Beefsteak & Dri
91,91,6469fb83b1064f9440f7014f,https://www.foody.vn/ha-noi/tom-karaoke-bui-thi-xuan,"Tôm Karaoke - Bùi Thị Xuân ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",116 Bùi Thị Xuân Quận Hai Bà Trưng Hà Nội,08:00,23:00,100.000đ ,200.000,['https://images.foody.vn/res/g6/55236/prof/s576x330/foody-mobile-640x400_tom-karaoke--914-635721346061568081.jpg'],['7.7'],['8.0'],['8.0'],['7.8'],['8.1'],5,46,3,2,7.9,Tôm Karaoke - Bùi Th
92,92,6469fb83b1064f9440f70150,https://www.foody.vn/ha-noi/paku-paku-japanese-restaurant,"Paku Paku - Japanese Restaurant ở Quận Ba Đình, Hà Nội | Foody.vn",35 Linh Lang Quận Ba Đình Hà Nội,10:00,01:00,20.000đ ,250.000,['https://images.foody.vn/res/g8/73041/prof/s576x330/foody-mobile-paku-jpg-747-636052112505961761.jpg'],['8.0'],['8.9'],['8.9'],['8.1'],['9.3'],7,8,0,1,8.6,Paku Paku - Japanese
93,93,6469fb83b1064f9440f70151,https://www.foody.vn/ha-noi/sofitel-metropole-hanoi-hotel,"Sofitel Metropole Hanoi Hotel ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","15 Ngô Quyền, P. Tràng Tiền Quận Hoàn Kiếm Hà Nội",00:00,23:30,500.000đ ,3.000.000,['https://images.foody.vn/res/g10/91286/prof/s576x330/foody-mobile-metropol-jpg-635447561715137560.jpg'],['7.1'],['8.7'],['9.0'],['8.6'],['9.3'],8,8,2,0,8.5,Sofitel Metropole Ha
94,94,6469fb83b1064f9440f70152,https://www.foody.vn/ha-noi/lau-cua-song-h2t-kcn-bac-thang-long,"Lẩu Cua Sông H2T - KCN Bắc Thăng Long ở Huyện Đông Anh, Hà Nội | Foody.vn","Cổng C, Khu Công Nghiệp Bắc Thăng Long Huyện Đông Anh Hà Nội",10:00,23:00,30.000đ ,350.000,['https://images.foody.vn/res/g16/150133/prof/s576x330/foody-mobile-40-jpg-142-635720582681871276.jpg'],['6.0'],['7.7'],['8.0'],['7.0'],['8.4'],1,14,4,1,7.4,Lẩu Cua Sông H2T - K
95,95,6469fb83b1064f9440f70153,https://www.foody.vn/ha-noi/cutisun-restaurant-2-bo-bit-tet,"Cutisun Restaurant 2 - Bò Bít Tết ở Quận Cầu Giấy, Hà Nội | Foody.vn","38 Đỗ Quang, P. Trung Hòa Quận Cầu Giấy Hà Nội",10:00,21:00,50.000đ ,500.000,['https://images.foody.vn/res/g26/257665/prof/s576x330/foody-mobile-13720985_10203968913-657-636046977580591750.jpg'],['6.5'],['7.1'],['7.7'],['6.8'],['7.8'],1,27,9,4,7.2,Cutisun Restaurant 2
